============================================================
           SAC Training Log: BipedalWalker-v3
============================================================
Timestep     | Mean Reward  | Std Dev    | Mean Length 
------------------------------------------------------------
10000        | -103.85      | 7.76       | 145.60      
20000        | -74.26       | 6.04       | 1600.00     
30000        | -124.65      | 18.13      | 282.00      
40000        | -101.39      | 13.71      | 1600.00     
50000        | -71.63       | 17.12      | 1600.00     
60000        | -129.56      | 15.20      | 1600.00     
70000        | -107.08      | 1.93       | 75.00       
80000        | -45.98       | 9.10       | 1600.00     
90000        | -138.48      | 29.20      | 1313.40     
100000       | 18.79        | 42.28      | 1600.00     
110000       | -27.28       | 39.15      | 812.60      
120000       | 267.10       | 32.22      | 1489.80     
130000       | 292.25       | 0.50       | 1195.20     
140000       | 296.17       | 0.76       | 1171.40     
150000       | -135.91      | 5.68       | 109.60      
160000       | 300.05       | 0.33       | 921.80      
170000       | 292.85       | 0.90       | 1116.00     
180000       | 293.14       | 1.26       | 1186.00     
190000       | 293.92       | 1.74       | 1030.80     
200000       | 296.82       | 0.58       | 1006.00     
210000       | 291.00       | 1.33       | 1051.80     
220000       | 301.25       | 0.45       | 959.40      
230000       | 303.53       | 0.70       | 954.60      
240000       | 304.05       | 0.63       | 890.00      
250000       | 300.06       | 0.69       | 937.80      
260000       | -84.45       | 18.37      | 1600.00     
270000       | 303.82       | 0.63       | 904.20      
280000       | 267.91       | 66.49      | 873.00      
290000       | 308.43       | 0.99       | 909.40      
300000       | 314.59       | 0.39       | 885.20      
310000       | 303.57       | 0.46       | 934.00      
320000       | 305.53       | 0.52       | 911.20      
330000       | -98.09       | 4.93       | 80.60       
340000       | 303.61       | 0.27       | 845.80      
350000       | 307.77       | 0.75       | 832.20      
360000       | 307.99       | 0.69       | 863.60      
370000       | 306.61       | 0.64       | 843.40      
380000       | 308.05       | 0.26       | 821.80      
390000       | 308.04       | 0.67       | 816.20      
400000       | 308.06       | 0.64       | 871.00      
410000       | 254.11       | 110.65     | 732.80      
420000       | 306.82       | 1.10       | 786.60      
430000       | 308.23       | 0.53       | 779.00      
440000       | 307.86       | 0.24       | 896.60      
450000       | 310.48       | 0.51       | 873.20      
460000       | 311.20       | 0.21       | 843.20      
470000       | 261.12       | 101.99     | 802.20      
480000       | 306.88       | 0.66       | 859.40      
490000       | 310.29       | 0.87       | 824.80      
500000       | 308.91       | 0.72       | 843.20      
------------------------------------------------------------
Best Performance: Reward 314.59 at Step 300000
============================================================
